DATE,ETOTALUSQ176N
2000-04-01,116047
2000-07-01,116482
2000-10-01,116914
2001-01-01,117347
2001-04-01,117786
2001-07-01,118216
2001-10-01,118635
2002-01-01,119061
2002-04-01,119483
2002-07-01,119909
2002-10-01,120350
2003-01-01,120792
2003-04-01,121233
2003-07-01,121682
2003-10-01,122159
2004-01-01,122632
2004-04-01,123099
2004-07-01,123587
2004-10-01,124096
2005-01-01,124611
2005-04-01,125118
2005-07-01,125619
2005-10-01,126104
2006-01-01,126584
2006-04-01,127072
2006-07-01,127548
2006-10-01,127991
2007-01-01,128439
2007-04-01,128888
2007-07-01,129300
2007-10-01,129634
2008-01-01,129968
2008-04-01,130303
2008-07-01,130590
2008-10-01,130797
2009-01-01,131001
2009-04-01,131207
2009-07-01,131375
2009-10-01,131490
2010-01-01,131622
2010-04-01,131746
2010-07-01,131867
2010-10-01,131988
2011-01-01,132110
2011-04-01,132232
2011-07-01,132356
2011-10-01,132487
2012-01-01,132617
2012-04-01,132748
2012-07-01,132892
2012-10-01,133069
2013-01-01,133243
2013-04-01,133421
2013-07-01,133611
2013-10-01,133823
2014-01-01,134034
2014-04-01,134247
2014-07-01,134463
2014-10-01,134687
2015-01-01,134912
2015-04-01,135135
2015-07-01,135368
2015-10-01,135619
2016-01-01,135868
2016-04-01,136119
2016-07-01,136376
2016-10-01,136647
2017-01-01,136916
2017-04-01,137187
2017-07-01,137463
2017-10-01,137750
2018-01-01,138038
2018-04-01,138325
2018-07-01,138613
2018-10-01,138905
2019-01-01,139198
2019-04-01,139490
2019-07-01,139782
2019-10-01,140074
2020-01-01,140365
2020-04-01,140657
2020-07-01,140949
2020-10-01,141241
2021-01-01,141533
